Product line Hitlist sequence,Product Line,Product Family,Product Model,Facility Name,Part No,Description,Net QTY, Overstock Unit Price 
1,ARV,,,Norway Repair Center,221110+71,SEAL KIT COMPLETE. 500/550,1,"$19,859 "
,ARV,,,Norway Repair Center,16543925-001,"SEAL KIT, VALVE",15,"$1,707 "
2,BOP (Blow Out Preventer),,,Montrose Repair Center,20001257+20,"PSTN ASSY, 18-5/15M, 14"" ULTRLK IIB, OBS USE",1,"$45,190 "
,BOP (Blow Out Preventer),,,Montrose Repair Center,20022355,"ACT, ROT, RH, UPGRADED, SOH=0, USE 17475189-001",1,"$14,968 "
,BOP (Blow Out Preventer),,,Baku Repair Center,168037+20,"CYL, OPER, 14""ID, 14"" ULTRLK II, PSLK, 18-15M NXT",3,"$13,262 "
,BOP (Blow Out Preventer),NXT,NXT 18-15M TRP,West Little York,10663666-001,"Body, Rough Machine, 18-15M NXT Triple, 22x22x14, Stud x Flange, 3-15M FO, No Load Ring, API 16A 3rd Ed (Part sold as FM component)",5,"$440,962.50 "
,BOP (Blow Out Preventer),NXT,NXT 18-15M TRP,West Little York,10745250-400,"Body, Finish Machine, 18-15M NXTM Triple, 14x14x14, Stud x Flange, 3-15M SO, CREP 7, No Load Ring, API 16A 3rd Ed, ABS/DNV",4,"$375,947.91 "
,BOP (Blow Out Preventer),NXT,NXT 18-15M TRP,West Little York,10745626-200,"Body, Finish Machine, 18-15M NXT Triple, 22x22x22, Stud x Flange, 3-15M SO, CREP 7, No Load Ring, API 16A 3rd Ed, ABS",2,"$446,105.56 "
,BOP (Blow Out Preventer),NXT,NXT 18-15M TRP,West Little York,10745626-400,"Body, Finish Machine, 18-15M NXT Triple, 22x22x22, Stud x Flange, 3-15M SO, CREP 7, No Load Ring, API 16A 3rd Ed, ABS/DNV",1,"$446,105.56 "
,BOP (Blow Out Preventer),NXT,NXT 18-15M DBL,West Little York,10968338-001,"Body Assy, 18-15M NXT Double, 14x14, Stud x Flange, 3-15M FO, CREP 7, Load Ring, API 16A 3rd Ed",1,"$342,976.66 "
,BOP (Blow Out Preventer),NXT,NXT 18-15M TRP,West Little York,11443434-001,"Body, Weld Prep, 18-15M NXT Triple, 14x14x14, Stud x Flange, 3-15M SO, No Load Ring, API 16A 3rd Ed (Part sold as FM component)",1,"$384,725.00 "
,BOP (Blow Out Preventer),NXT,NXT 18-15M SGL,West Little York,10715717-400,"Body, Finish Machine, 18-15M NXT Single, 22"", Stud x Flange, 3-15M SO, CREP 1, No Load Ring, API 16A 3rd Ed",1,"$275,751.07 "
,BOP (Blow Out Preventer),NXT,NXT 18-15M SGL,West Little York,10657747-001,"Body, Rough Machine, 18-15M NXT Single, 22"", Stud x Flange, 3-15M SO, No Load Ring, API 16A 3rd Ed (Part sold as FM component)",1,"$294,557.83 "
,BOP (Blow Out Preventer),SBOP,SBOP 13-10M,West Little York,10622295-001,"Housing, Lower, SBOP;13-05M,BOLTED,STD;FORGING;F (10M);0;EVERSLICK;API RG;SQ",2,"$25,602.36 "
,BOP (Blow Out Preventer),SBOP,,Houston Repair Center,16579426-200,"Adapter Ring, SBOP;18-10M,WEDGE,STD;FM;CREP 4;ABS",1,"$133,205 "
,BOP (Blow Out Preventer),SBOP,,Houston Repair Center,16509234-200,"Adapter Ring, SBOP;13-10M,WEDGE,STD;FM;CREP 4 & 5;ABS",1,"$87,746 "
,BOP (Blow Out Preventer),NXT,,Houston Repair Center,10617671-100,"Door, Proprietary;W/Booster Cylinder;BOP (Blow Out Preventer);18-15M, NXT",1,"$84,419 "
,BOP (Blow Out Preventer),,,Houston Repair Center,17851152-001,Cylinder Accessory;Stuffing Box Assembly;For Piston Rod Ø400,2,"$41,672 "
,BOP (Blow Out Preventer),,,Houston Repair Center,10656183-100,"Piston, BOP Door;Poslock;Dia 22 in;Finish Machine;Standard;Main, NXT",3,"$34,222 "
,BOP (Blow Out Preventer),BOP (BLOW OUT PREVENTOR),,Houston Repair Center,10632550-001,"Shear Ram Block;18-5/10/15M NXT;Casing Shear;Upper/Lower;Cert Standard;Assembly, Modified For Small Pipe",2,"$24,624 "
3,BOP Controls,Multiplex Controls,254-MUX-OPS,West Little York,10735644-001,"Wire Cable Assembly;Cable ASSY,CCC Simulator To SubSea Electronics Pod;Custom;Unarmored;BOP Controls;120 FT",8,"$29,123.07 "
,BOP Controls,Direct Hydraulic Controls,254-DHC-HAB,West Little York,10732146-200,Bottle Rack;5M psi;Bot Qty 24;Top Load;15 gal;304/316 SST;ABS Modu;BOP CONTROLS FOR JACK UPS,3,"$164,521.56 "
,BOP Controls,Multiplex Controls,254-MUX-OPS,West Little York,10797993-001,"Electrical Control Panel;Simulator/Maintenance Panel;General Purpose;BOP Control System, 6th Generation",2,"$250,000.00 "
,BOP Controls,Multiplex Controls,254-MUX-MXR,West Little York,11000896-001,Support;Dual Mux Cable and Hot Line Storm Loop;BOP Controls,5,"$29,532.13 "
,BOP Controls,Subsea,,Houston Repair Center,10687672-001,"Plate, Proprietary;Sea Adapter Assembly, FM Bell;BOP Controls;112 Line POD 5th Generation MUX",1,"$132,109 "
,BOP Controls,,,Houston Repair Center,18464341-001,"UPS Accessory;Upgrade Kit For The Gutor UPS, 6th Gen;Ground Fault",13,"$33,882 "
,BOP Controls,,,Houston Repair Center,11118775-001,"Connector Accessory;FCR, POD, 5TH GEN, 4FO12#10",1,"$29,493 "
4,BOP Handling,BOP Transporters - Land,,Galena Park,10822087-001,"Frame, Proprietary;Lift;BOP Handling System",1,"$10,000.00 "
5,BOP Stacks,"BOP Stacks, Subsea",,West Little York,10602066-001,"Stack Spider;Lower, CS-240;Assembly;Lower Stack",1,"$225,265.59 "
,BOP Stacks,"BOP Stacks, Subsea",,West Little York,10679974-001,"Platform, Proprietary;Assembly, Riser Adapter;BOP Stacks",1,"$37,416.77 "
,BOP Stacks,"BOP Stacks, Subsea",,West Little York,10919958-001,"Stack Spider;Upper, CS-240;Weldment;Configurable, Lower Stack",1,"$562,167.17 "
,BOP Stacks,"BOP Stacks, Subsea",,West Little York,10664703-001,"Platform, Proprietary;Weld Assembly, LMRP Config, PDC 5, CS-240;BOP Stacks",1,"$36,550.56 "
